herbKey|actionKey
Astragalus|Adaptogen
Astragalus|Adrenal Tonic
Astragalus|Alterative
Astragalus|Cardiovascular Tonic
Astragalus|Hepatic
Astragalus|Hypoglycemic
Astragalus|Immune Trophorestorative
Astragalus|Mucilaginous Expectorant
Astragalus|Nutritive
Boneset|Alterative
Boneset|Antispasmodic
Boneset|Anodyne
Boneset|Diaphoretic
Boneset|Diuretic
Boneset|Digestive
Boneset|Emetic
Boneset|Hepatic
Boneset|Nervine
Boneset|Nervous trophorestorative
Boneset|Vulnerary
California Poppy|Anodyne
California Poppy|Antispasmodic
California Poppy|Digestive
California Poppy|Hypnotic
California Poppy|Nervine
California Poppy|Sedative
Catnip|Analgesic
Catnip|Antispasmodic
Catnip|Carminative
Catnip|Diaphoretic
Catnip|Digestive
Catnip|Hepatic
Catnip|Nervine
Cinnamon verum|Antimicrobial
Cinnamon verum|Astringent
Cinnamon verum|Demulcent
Cinnamon verum|Diffusive
Cinnamon verum|Hypoglycemic
Cinnamon verum|Mild circulatory stimulant
Cinnamon verum|Relaxant
Cinnamon cassia|Antimicrobial
Cinnamon cassia|Astringent
Cinnamon cassia|Demulcent
Cinnamon cassia|Diffusive
Cinnamon cassia|Hypoglycemic
Cinnamon cassia|Mild circulatory stimulant
Cinnamon cassia|Relaxant
Catnip|Sedative
Elder|Alterative
Elder|Antispasmodic
Elder|Antitussive
Elder|Astringent
Elder|Circulatory Stimulant
Elder|Diaphoretic
Elder|Digestive
Elder|Diuretic
Elder|Exhilarant
Elder|Nutritive
Elder|Purgative
Elder|Respiratory Antimicrobial
Elder|Vermifuge
Elecampane|Antimicrobial
Elecampane|Diaphoretic
Elecampane|Digestive
Elecampane|Emmenagogue
Elecampane|Expectorant
Elecampane|Nervous System Tonic
Elecampane|Nutritive
Elecampane|Respiratory Stimulant
Garlic|Alterative
Garlic|Anti-inflammatory
Garlic|Antifungal
Garlic|Carminative
Garlic|Circulatory Stimulant
Garlic|Diffusive
Garlic|Emmenagogue
Garlic|Hepatic Stimulant
Garlic|Hypotensive
Garlic|Nervine
Garlic|Respiratory Antimicrobial
Garlic|Rubefacient
Garlic|Vermifuge
Ginger|Anodyne
Ginger|Antiemetic
Ginger|Antispasmodic
Ginger|Carminative
Ginger|Emmenagogue
Ginger|Diaphoretic
Ginger|Diffusive
Ginger|Stimulant
Ginger|Relaxant
Ginger|Rubefacient
Ginger|Stomachic
Hops|Anodyne
Hops|Antimicrobial
Hops|Antispasmodic
Hops|Digestive
Hops|Galactagogue
Hops|Hepatic
Hops|Hypnotic
Hops|Nervine
Hops|Sedative
Lobelia|Anodyne
Lobelia|Antispasmodic
Lobelia|Anti-inflammatory
Lobelia|Bronchodilator
Lobelia|Diaphoretic
Lobelia|Emetic
Lobelia|Muscle relaxant
Lobelia|Nervous relaxant
Maitake|Alterative
Maitake|Antitumor
Maitake|Hepatoprotective
Maitake|Hypoglycemic
Maitake|Immune Stimulant
Maitake|Nutritive
Maitake|Trophorestorative
Marshmallow|Demulcent
Passionflower|Anodyne
Passionflower|Antispasmodic
Passionflower|Diaphoretic
Passionflower|Nervine
Passionflower|Sedative
Pleurisy Root|Anti-edema
Pleurisy Root|Anti-inflammatory
Pleurisy Root|Anti-tussive
Pleurisy Root|Diaphoretic
Pleurisy Root|Emollient
Pleurisy Root|Expectorant
Pleurisy Root|Relaxant
Pleurisy Root|Sedative
Rose|Antimicrobial
Rose|Astringent
Rose|Nervine
Rose|Exhilarant
Rose|Nutritive
Rose|Refrigerant
Rose|Vulnerary
Shiitake|Alterative
Shiitake|Antitumor
Shiitake|Hepatoprotective
Shiitake|Hypoglycemic
Shiitake|Immune Stimulant
Shiitake|Nutritive
Shiitake|Trophorestorative
Skullcap|Antispasmodic
Skullcap|Carminative
Skullcap|Diaphoretic
Skullcap|Hepatic
Skullcap|Nervine
Skullcap|Sedative
Skullcap|Cerebral vasodilator
Thyme|Anti-inflammatory
Thyme|Anti-parasitic
Thyme|Carminative
Thyme|Emmenagogue
Thyme|Intestinal Antimicrobial
Thyme|Relaxant
Thyme|Respiratory Antimicrobial
Thyme|Stimulating Expectorant
Wild Cherry|Antispasmodic
Wild Cherry|Anti-tussive
Wild Cherry|Cardiac Relaxant
Wild Cherry|Digestive Tonic
Wild Cherry|Expectorant
Wild Cherry|Histamine Modulator
Wild Cherry|Hypotensive
Witch Hazel|Antimicrobial
Witch Hazel|Anti-hemorrhagic
Witch Hazel|Anti-inflammatory
Witch Hazel|Astringent
Witch Hazel|Mucosal Astringent
Witch Hazel|Vascular Astringent
Witch Hazel|Vulnerary