herbKey|medicinalPartKey
Astragalus|Root
Boneset|Leaves
Boneset|Flowers
California Poppy|Flowers
California Poppy|Leaves
California Poppy|Root
Catnip|Leaves
Elder|Berries
Elder|Flowers
Elecampane|Root
Garlic|Bulb
Ginger|Root
Hops|Flowers
Lobelia|Aerial Parts
Lobelia|Leaves
Lobelia|Flowers
Maitake|Fruting Bodies
Passionflower|Flowers
Passionflower|Fruit
Pleurisy Root|Root
Rose|Flowers
Rose|Fruit
Rose|Root
Shiitake|Fruting Bodies
Skullcap|Leaves
Skullcap|Flowers
Thyme|Aerial Parts
Wild Cherry|Bark
Witch Hazel|Bark
Witch Hazel|Leaves