herbKey|herbKey
Boneset|Blue vervain
Boneset|Catnip
Boneset|Cayenne
Boneset|Comfrey
Boneset|Elder
Boneset|Lion's Mane
Boneset|Lobelia
Boneset|Mullein
Boneset|St. John's Wort
California Poppy|Birch
California Poppy|Hops
California Poppy|Kava
California Poppy|Lobelia
California Poppy|Meadowsweet
California Poppy|Wild Lettuce
California Poppy|Willow
Catnip|Elder
Catnip|Linden
Catnip|Passionflower
Catnip|Peppermint
Catnip|Sage
Catnip|Wood betony
Chamomile|Mugwort
Elder|Boneset
Elder|Catnip
Elder|Garlic
Elder|Passionflower
Elder|Rose
Elder|Thyme
Elder|Tulsi
Elder|Yarrow
Garlic|Elecampane
Garlic|Hawthorne
Garlic|Horseradish
Garlic|Onion
Garlic|Rosemary
Garlic|Thyme
Garlic|Yarrow
Ginger|Cardamom
Ginger|Calamus
Ginger|Chamomile
Ginger|Fennel
Ginger|Galangal
Ginger|Garlic
Ginger|Turmeric
Hops|Cannabis
Hops|Goat’s Rue
Hops|Kava
Hops|Passionflower
Hops|Valerian
Hops|Wild Lettuce
Linden|Marshmallow
Maitake|Astragalus
Maitake|Chaga
Maitake|Chicken of the Woods
Maitake|Elder
Maitake|Reishi
Maitake|Seaweeds
Maitake|Turkey Tail
Passionflower|Catnip
Passionflower|Elderflower
Passionflower|Kava
Passionflower|Motherwort
Passionflower|Sage
Passionflower|Skullcap
Rose|Calendula
Rose|Citrus
Rose|Hawthorn
Rose|Hibiscus
Rose|Lavender
Rose|Linden
Rose|Plantain
Shiitake|Astragalus
Shiitake|Chaga
Shiitake|Chicken of the Woods
Shiitake|Elder
Shiitake|Reishi
Shiitake|Seaweeds
Shiitake|Turkey Tail
Skullcap|Catnip
Skullcap|Chamomile
Skullcap|Hops
Skullcap|Lavender
Skullcap|Passionflower
Skullcap|Wild Lettuce
Skullcap|Wood betony
Witch Hazel|Calendula
Witch Hazel|Oak
Witch Hazel|Rose
Witch Hazel|Shepherd’s Purse
Witch Hazel|Sumac
Witch Hazel|Yarrow