herbKey|diseaseKey
Boneset|Influenza
California Poppy|Insomnia
Catnip|Anxiety
Cinnamon cassia|Diabetes
Cinnamon verum|Diabetes
Elder|Common Cold
Elder|Influenza
Elecampane|Bronchitis
Ginger|Indigestion
Lobelia|Anaphylaxis
Lobelia|Asthma
Lobelia|Dry Cough
Lobelia|Seizures
Maitake|Cancer
Maitake|Diabetes
Maitake|High Blood Sugar
Maitake|High Cholesterol
Pleurisy Root|Bronchitis
Pleurisy Root|Dropsy
Pleurisy Root|Pleurisy
Rose|Anxiety
Rose|Burns
Rose|Depression
Shiitake|Cancer
Shiitake|Diabetes
Shiitake|High Blood Sugar
Shiitake|High Cholesterol
Thyme|Influenza
Wild Cherry|Dry Cough
Witch Hazel|Burns
Witch Hazel|Gingivitis
Witch Hazel|Hemorrhoids
Witch Hazel|Poison Ivy
Witch Hazel|Varicose Veins